SchoolYear,OrganizationLevel,County,DistrictCode,DistrictName,SchoolName,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities
2019-20,District,Grays Harbor,14005,Aberdeen School District,District Total,12th Grade,302,175,0,127,14,6,3,78,2,14,185,23,0,14,20,174,7,4,32,14,63,279,299,288,282,128,295,298,270,288,239
2019-20,District,Lewis,21226,Adna School District,District Total,12th Grade,57,31,0,26,0,0,0,4,0,3,50,0,0,0,1,21,0,1,5,2,4,57,56,57,56,36,57,56,52,55,53
2019-20,District,Skagit,29103,Anacortes School District,District Total,12th Grade,229,110,0,119,1,16,3,22,0,4,183,1,0,0,4,57,0,13,9,20,15,228,227,229,225,172,229,216,220,209,214
2019-20,District,Snohomish,31016,Arlington School District,District Total,12th Grade,508,268,0,240,7,12,3,51,1,26,408,6,0,30,29,170,1,5,31,26,66,502,504,478,479,338,507,503,477,482,442
2019-20,District,Asotin,2420,Asotin-Anatone School District,District Total,12th Grade,44,18,0,26,0,1,0,2,0,2,39,0,0,0,3,15,0,1,0,2,1,44,44,44,41,29,44,43,44,42,43
2019-20,District,King,17408,Auburn School District,District Total,12th Grade,1405,684,0,721,20,149,127,363,49,103,594,148,0,125,19,695,0,12,105,46,167,1257,1399,1280,1386,710,1405,1393,1300,1359,1238
2019-20,District,Kitsap,18303,Bainbridge Island School District,District Total,12th Grade,377,167,0,210,1,9,2,35,0,35,295,10,0,48,2,33,0,7,6,95,28,367,377,329,375,344,377,370,371,282,349
2019-20,District,Pierce,27931,Bates Technical College,District Total,12th Grade,328,71,0,257,9,6,50,58,4,15,186,0,0,0,0,0,0,1,111,0,0,328,326,328,328,328,328,327,217,328,328
2019-20,District,Clark,6119,Battle Ground School District,District Total,12th Grade,1277,642,0,635,9,26,12,135,1,75,1019,62,0,1,57,402,0,9,87,71,156,1215,1272,1276,1220,875,1277,1268,1190,1206,1121
2019-20,District,King,17405,Bellevue School District,District Total,12th Grade,1798,883,2,913,4,646,60,211,0,166,711,117,0,208,29,335,1,12,46,195,196,1681,1797,1590,1769,1463,1797,1786,1752,1603,1602
2019-20,District,Whatcom,37501,Bellingham School District,District Total,12th Grade,924,452,0,472,6,70,18,144,5,72,609,38,0,85,42,277,6,5,61,113,90,886,919,839,882,647,918,919,863,811,834
